순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,lat,lon
58,마음현정신건강의학과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)",044-862-3217,36.507,127.258
59,범지기한의원,한의원,"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)",044-998-0700,36.488,127.28
60,김종열한의원,한의원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 3층 312,313호 (대평동)",070-7576-7077,36.472,127.275
61,꿈담소아청소년과의원,의원,"세종특별자치시 마음로 264, 고운프라자 2층 201-1호, 201-2호 (고운동)",044-715-7545,36.51,127.248
62,더블유세종어진건강의원,의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 401호 (어진동)",044-715-5262,36.498,127.268
63,중앙소아청소년과의원,의원,"세종특별자치시 한누리대로 2257, 판타지타워 404, 405호 (대평동)",044-715-7475,36.472,127.275
64,손근형소아청소년과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 632,633,634,635호 (나성동)",044-715-5975,36.507,127.258
65,세종위드정형외과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 7층 701,702,703호 (나성동)",044-715-7574,36.507,127.258
66,봄봄 이비인후과의원,의원,"세종특별자치시 마음로 78, 세종 스마트큐브Ⅱ 203,204호 (고운동)",044-715-5915,36.51,127.248
67,메디캐치 정형외과의원,의원,"세종특별자치시  마음로 272-17, 세종 NS타워 3차 4층 (고운동)",044-417-6273,36.51,127.248
68,메디캐치의원,의원,"세종특별자치시  마음로 272-17, 세종NS타워 3차 3층 (고운동)",044-417-6271,36.51,127.248
69,연세나무 정신건강의학과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 533,534,535,547,548,549호 (나성동)",044-865-5272,36.507,127.258
70,아이맘편작한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 5층 512호 (어진동)",044-864-8375,36.498,127.268
71,윤빛소아청소년과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 303호 (해밀동)",044-865-8124,36.535,127.272
72,동행정신건강의학과의원,의원,"세종특별자치시 절재로 194, 중앙타운 704호 (어진동)",044-867-7579,36.498,127.268
73,소담에스정형외과의원,의원,"세종특별자치시 한누리대로 2022, 아이콤스타타워 301,302,303,308호 (소담동)",044-867-8400,36.544,127.258
74,위하는내과의원,의원,"세종특별자치시 한누리대로 1844, 행복드림타워 3층 301호~306호 (반곡동)",044-715-5110,36.462,127.283
75,세종이지항외과의원,의원,"세종특별자치시 한누리대로 331, 3층 320~323호 (나성동, SR파크센텀)",044-863-6131,36.507,127.258
76,서울봄빛안과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 603~607호 (나성동)",044-865-1400,36.507,127.258
77,서울아산재활의학과의원,의원,"세종특별자치시 절재로 194, 중앙타운 4층 406호 (어진동)",044-715-7591,36.498,127.268
78,동경한의원,한의원,"세종특별자치시 소담3로 8, 새샘마을7단지 근린생활시설 1층 5호 (소담동)",044-865-7573,36.544,127.258
79,송창헌내과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 405,406,407호 (나성동)",044-866-0966,36.507,127.258
80,세종장사랑내과의원,의원,"세종특별자치시 보듬3로 158, 아름메디컬센터 4층 401~405호 (아름동)",044-715-7520,36.488,127.28
81,세종톡스앤필의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 501호 (나성동)",044-414-9200,36.507,127.258
82,백헌한의원,한의원,"세종특별자치시 한누리대로 1828, 시드니블루 407,408호 (반곡동)",044-415-1802,36.462,127.283
83,세종스노우의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 550~562호 (나성동)",044-903-3090,36.507,127.258
84,유디치과의원,치과의원,"세종특별자치시 나성로 38, 세종가로수길 A301,A302a,A302,A303호 (나성동)",044-715-7188,36.507,127.258
85,클레르피부과의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 401,402,403-1호 (반곡동)",044-715-5910,36.462,127.283
86,마인드랩공간정신건강의학과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 406~407호 (나성동)",044-715-5670,36.507,127.258
87,세종꾸러기소아치과의원,치과의원,"세종특별자치시 한누리대로 2012, 코끼리타워 301,302,303호 (소담동)",044-417-6991,36.544,127.258
88,세종바른유외과의원,의원,"세종특별자치시 한누리대로 169, 세종행복타워 503~505호 (나성동)",044-998-7575,36.507,127.258
89,삼성밸런스이비인후과의원,의원,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 201,202호 (아름동)",044-715-7517,36.488,127.28
90,오케이마취통증의학과의원,의원,"세종특별자치시 조치원읍 새내8길 7, 3~4층",044-867-7575,36.602,127.297
91,세종수이비인후과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 501,502호 (해밀동)",044-715-7730,36.535,127.272
92,삼성미의원,의원,"세종특별자치시 도움1로 108, 몰리브(Mallive) 4층 405~406호 (종촌동)",044-868-7570,36.503,127.255
93,세종센텀한의원,한의원,"세종특별자치시 해밀3로 43, 스카이드림 3층 301,302호 (해밀동)",044-868-6882,36.535,127.272
94,세종스카이내과의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 6층 602,603,604호 (해밀동)",044-715-7320,36.535,127.272
95,연세해밀치과의원,치과의원,"세종특별자치시 해밀3로 43, 스카이드림 504호 (해밀동)",044-863-2879,36.535,127.272
96,유스앤영서울뷰의원,의원,"세종특별자치시 나성로 96, 더센트럴 519호 (나성동)",044-715-5199,36.507,127.258
97,세종365의원,의원,"세종특별자치시 한누리대로 1958, 법조타운A 4층 401~410호 (소담동)",1661-3561,36.544,127.258
98,당신의치과의원,치과의원,"세종특별자치시 해밀3로 51, 스카이허브 404,405호 (해밀동)",044-862-0028,36.535,127.272
99,허브연합내과의원,의원,"세종특별자치시 해밀3로 51, 스카이허브 303,304호 (해밀동)",044-715-7588,36.535,127.272
100,마음편한치과의원,치과의원,"세종특별자치시 남세종로 458, 아리랑빌딩 303호 (보람동)",044-867-2804,36.553,127.268
101,여담한의원,한의원,"세종특별자치시 도움8로 91, 세종마치 402호 (어진동)",044-715-5868,36.498,127.268
102,세종365치과의원,치과의원,"세종특별자치시 한누리대로 245, 에스알파크원 402,403호 (나성동)",044-715-5365,36.507,127.258
103,이도치과의원,치과의원,"세종특별자치시 한누리대로 275, 형성프라자 501,502,503호 (나성동)",044-867-7525,36.507,127.258
104,덴탈365치과의원,치과의원,"세종특별자치시 한누리대로 1958, 법조타운A 3층 301~310호 (소담동)",1661-3275,36.544,127.258
105,삼성필성형외과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 3층 (나성동)",044-867-1233,36.507,127.258
106,리더본재활의학과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 6층 648호~655호 (나성동)",044-865-0700,36.507,127.258
107,태이재한의원,한의원,"세종특별자치시 한누리대로 2009, 펠리체타워2 203호 (소담동)",044-415-1919,36.544,127.258
108,블리비의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 301호~303호 (나성동)",1833-7390,36.507,127.258
109,연세미니성형외과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 502호, 503호 (나성동)",044-867-3655,36.507,127.258
110,크리미의원,의원,"세종특별자치시 다정중앙로 46, 2층 (다정동)",044-715-7750,36.527,127.265
111,세종튼튼한의원,한의원,"세종특별자치시 한누리대로 2257, 판타지타워 205호 (대평동)",044-868-0020,36.472,127.275
112,자인한의원,한의원,"세종특별자치시 새롬중앙로 63, 세종온누리타워 202호,203호 (새롬동)",044-272-8875,36.519,127.258
113,세종시청점오라클피부과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 204~206호 (보람동)",044-715-7716,36.553,127.268
114,굿제이산부인과의원,의원,"세종특별자치시 절재로 194, 중앙타운 303호 (어진동)",044-715-7677,36.498,127.268
115,센텀비뇨기과의원,의원,"세종특별자치시 한누리대로 2149, 엔젤타워 404호~407호 (보람동)",044-867-6553,36.553,127.268
116,하늘소아청소년과의원,의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 302,306-1,306-2,307,314-2,315호 (반곡동)",044-867-5151,36.462,127.283
117,앨리스치과의원,치과의원,"세종특별자치시 한누리대로 265, 명동프라자 5층 (나성동)",044-417-1511,36.507,127.258
118,세종조은내과의원,의원,"세종특별자치시 한누리대로 1828, 시드니블루 401호,402호 (반곡동)",044-715-7570,36.462,127.283
119,노블클라쎄산부인과의원,의원,"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 752동 A302~308-1, A315~A320호 (보람동)",044-866-3575,36.553,127.268
120,바른뿌리치과의원,치과의원,"세종특별자치시 조치원읍 새내8길 7, 2층",044-868-2804,36.602,127.297
121,유웰비뇨의학과의원,의원,"세종특별자치시 한누리대로 265, 명동프라자 501~504호 (나성동)",044-865-1190,36.507,127.258
122,한솔한의원,한의원,"세종특별자치시 누리로 110, 403,404호 (한솔동)",044-863-4455,36.48,127.262
123,메디컬뱅크치과의원,치과의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 2호 (어진동)",044-862-2873,36.498,127.268
124,디어트치과의원,치과의원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 303~306호 (대평동)",1522-1998,36.472,127.275
125,세미이비인후과의원,의원,"세종특별자치시 한누리대로 1824, 301~303호 (반곡동)",044-715-7560,36.462,127.283
126,따뜻한 정신건강의학과의원,의원,"세종특별자치시 한누리대로 2257, 판타지타워 304호 (대평동)",044-715-7507,36.472,127.275
127,웰가정의학과의원,의원,"세종특별자치시 조치원읍 도원2로 39, 3층",044-868-7507,36.602,127.297
128,이도내과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 403~404호 (보람동)",044-905-2500,36.553,127.268
129,세종튼튼치과의원,치과의원,"세종특별자치시 한누리대로 1824, 401,402호 (반곡동)",044-866-2007,36.462,127.283
130,세종코아이비인후과의원,의원,"세종특별자치시 마음로 272-4, 고운메디프라자 201호 (고운동)",044-868-7585,36.51,127.248
131,반곡한의원,한의원,"세종특별자치시 한누리대로 1824, 조이프라자 405~406호 (반곡동)",044-216-6200,36.462,127.283
132,유앤성부부치과의원,치과의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 407~408호 (반곡동)",044-862-7522,36.462,127.283
133,우리메디컬의원,의원,"세종특별자치시 고운서길 19, 세종 스마트큐브Ⅰ 301~303,305~308호 (고운동)",044-868-5375,36.51,127.248
134,세종맑은이비인후과의원,의원,"세종특별자치시 도움3로 105-7, 메디케어빌딩 303호 (종촌동)",044-862-2358,36.503,127.255
135,로뎀소아청소년과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 402~404호 (다정동)",044-863-0033,36.527,127.265
136,반달한의원,한의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 203호 (다정동)",044-903-0525,36.527,127.265
137,종촌제일연합내과의원,의원,"세종특별자치시 도움1로 106, 메가시티 610,615-1호 (종촌동)",044-715-7511,36.503,127.255
138,아낌없이주는나무한의원,한의원,"세종특별자치시 한누리대로 1820, 왕관빌딩 503-1,503-2,504호 (반곡동)",044-865-0002,36.462,127.283
139,생생당한의원,한의원,"세종특별자치시 한누리대로 2144, 스마트허브Ⅱ 301호 (보람동)",044-868-3284,36.553,127.268
140,바른치과의원,치과의원,"세종특별자치시 한누리대로 253, 에스빌딩 502호 (나성동)",044-868-2882,36.507,127.258
141,세종이안과의원,의원,"세종특별자치시 새롬중앙로 62-15, 해피라움W 403,404호 (새롬동)",044-868-7228,36.519,127.258
142,세종김연수피부과의원,의원,"세종특별자치시 새롬중앙로 64, 세종영광프라자 4층 402호 (새롬동)",044-866-7534,36.519,127.258
143,세종탑재활의학과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 501호, 506~508호호 (소담동)",044-864-1620,36.544,127.258
144,세종드림치과의원,치과의원,"세종특별자치시 한누리대로 2143, 금강시티타워 405,406호 (보람동)",044-868-2815,36.553,127.268
145,황실치과의원,치과의원,"세종특별자치시 한누리대로 2281, SM메디컬센터 410호 (대평동)",044-866-2888,36.472,127.275
146,세종하이치과의원,치과의원,"세종특별자치시 한누리대로 1828, 시드니블루 403호,404호호 (반곡동)",044-862-7700,36.462,127.283
147,동인한의원,한의원,"세종특별자치시 호려울로 19, 스마트허브Ⅲ 304호 (보람동)",044-715-7512,36.553,127.268
148,수앤미의원,의원,"세종특별자치시 한누리대로 583, 도담센트럴프라자 4층 401,402호 (도담동)",044-865-1174,36.498,127.27
149,정석이비인후과의원,의원,"세종특별자치시 조치원읍 새내로 97, 조치원메디컬센터 502호",044-715-7579,36.602,127.297
150,이편한홍치과의원,치과의원,세종특별자치시 연서면 봉암길 8,044-862-2811,36.567,127.24
151,서울이사랑치과의원,치과의원,"세종특별자치시 조치원읍 세종로 2282, 502호, 503호, 504호",044-864-2840,36.602,127.297
152,유성연합의원,의원,세종특별자치시 조치원읍 새내로 132,044-868-6617,36.602,127.297
153,세종양지한의원,한의원,"세종특별자치시 다정중앙로 39, 다정센터프라자2 401,402호 (다정동)",044-868-5003,36.527,127.265
154,독일브라운치과의원,치과의원,"세종특별자치시 마음로 272-3, 고운에듀프라자 303,304호 (고운동)",044-865-2929,36.51,127.248
155,세종서울정형외과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 403,404,407호 (어진동)",044-862-8833,36.498,127.268
156,비쥬얼피부과의원,의원,"세종특별자치시 한누리대로 273, 새롬씨티 3층 302,303,304호 (나성동)",044-715-7585,36.507,127.258
157,더공감정신건강의학과의원,의원,"세종특별자치시 한누리대로 2135, 스타힐타워1 304호 (보람동)",044-715-7678,36.553,127.268
158,다정서문365정형외과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 605~614호 (다정동)",044-865-1039,36.527,127.265
159,참좋은서울아산내과의원,의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 5층 502~505호 (다정동)",044-866-5900,36.527,127.265
160,소신내과의원,의원,"세종특별자치시 한누리대로 589, 해피라움7 304,305-1,305-2,305-3,702-1,702-2호(도담동) (도담동)",044-862-8875,36.498,127.27
161,핑크유외과의원,의원,"세종특별자치시 한누리대로 492, 청암홈빌딩 501~504호 (어진동)",044-417-6688,36.498,127.268
162,본한의원,한의원,"세종특별자치시 한누리대로 2135, 스타힐타워1 201,202호 (보람동)",044-862-7755,36.553,127.268
163,목은한의원,한의원,"세종특별자치시 한누리대로 169, 세종행복타워 302호 (나성동)",044-868-4775,36.507,127.258
164,세종뷰티의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 405,406호 (어진동)",044-863-0492,36.498,127.268
165,잇츠미의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 302~304호 (나성동)",044-867-1108,36.507,127.258
166,약손한의원,한의원,"세종특별자치시 한누리대로 2236, 해들마을 6단지 상가동 2층 C214,C215호 (대평동)",044-867-1999,36.472,127.275
167,전의부부치과의원,치과의원,"세종특별자치시 전의면 운주산로 1191, 2층",044-862-2280,36.614,127.325
168,연세탑치과의원,치과의원,"세종특별자치시 조치원읍 조치원8길 6, 2층",044-863-2844,36.602,127.297
169,세종성모내과의원,의원,"세종특별자치시 한누리대로 492, 청암빌딩 401,402호 (어진동)",044-905-0606,36.498,127.268
170,서문365정형외과의원,의원,"세종특별자치시 한누리대로 2281, SM메디컬센터 3층 (대평동)",044-868-1039,36.472,127.275
171,세종고려정형외과의원,의원,"세종특별자치시 한누리대로 2143, 금강시티타워 303~306호 (보람동)",044-865-3888,36.553,127.268
172,다정소아청소년과의원,의원,"세종특별자치시 다정북로 109, 204,205호 (다정동, 가온마을3단지)",044-998-7711,36.527,127.265
173,해들치과의원,치과의원,"세종특별자치시 한누리대로 2257, 판타지타워 305호 (대평동)",044-862-2804,36.472,127.275
174,코끼리마취통증의학과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 502호 (아름동)",044-862-7505,36.488,127.28
175,세종김안과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 5층 501,502,503호 (아름동)",044-864-2360,36.488,127.28
176,서울아산내과의원,의원,"세종특별자치시 조치원읍 새내로 97, 2층, 7층",044-862-7559,36.602,127.297
177,세종제일산부인과의원,의원,"세종특별자치시 한누리대로 2265, 세종메디컬센터 5층, 6층층 (대평동)",044-866-3582,36.472,127.275
178,해들한의원,한의원,"세종특별자치시 한누리대로 2265, 세종메디컬센터 302,303호 (대평동)",044-868-7910,36.472,127.275
179,소망안과의원,의원,"세종특별자치시 한누리대로 2018, 사이언스타운 307,308호 (소담동)",044-868-8224,36.544,127.258
180,경희으뜸한의원,한의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 2층 203호 (다정동)",044-868-1375,36.527,127.265
181,김만주정성치과의원,치과의원,"세종특별자치시 소담1로 16, 지엘플렉스2 404호 (소담동)",044-865-2080,36.544,127.258
182,이제한의원,한의원,"세종특별자치시 새롬중앙로 67, 오렌지빌딩 302, 303호 (새롬동)",044-715-7505,36.519,127.258
183,다정내과의원,의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 306,307호 (다정동)",044-864-1911,36.527,127.265
184,엔연세감동치과의원,치과의원,"세종특별자치시 새롬중앙로 33, 새뜸프라자 303, 304호 (새롬동)",044-868-7523,36.519,127.258
185,라비에피부과의원,의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 501,502,503호 (다정동)",044-864-5005,36.527,127.265
186,연세올바른치과의원,치과의원,"세종특별자치시 다정중앙로 58, 다정메디프라자 302,303호 (다정동)",044-862-2622,36.527,127.265
187,도란도란소아청소년과의원,의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 303호 (다정동)",044-863-3275,36.527,127.265
188,아름누리소아청소년과의원,의원,"세종특별자치시 한누리대로 2022, 아이콤스타타워 402,403호 (소담동)",044-865-7522,36.544,127.258
189,도치소아치과의원,치과의원,"세종특별자치시 다정중앙로 51, 더다정빌딩 505호 (다정동)",044-865-5200,36.527,127.265
190,이룸한의원,한의원,"세종특별자치시 보듬4로 9, 4F-6호, 4F-7호호 (도담동, 도램마을11단지)",044-863-4107,36.498,127.27
191,세종숲정신건강의학과의원,의원,"세종특별자치시 도움1로 106, 메가시티 3층 301호 (종촌동)",044-865-7560,36.503,127.255
192,서산부인과의원,의원,"세종특별자치시 보듬3로 150, 아름 행복타워 3,4층 (아름동)",044-905-3575,36.488,127.28
193,하나로내과의원,의원,"세종특별자치시 조치원읍 새내로 102, 1,2층",044-862-5900,36.602,127.297
194,세종우리의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 510,511,512,513호 (다정동)",044-867-1170,36.527,127.265
195,연세세브란스치과의원,치과의원,"세종특별자치시 다정중앙로 57, 다정센타프라자 305호 (다정동)",044-715-5000,36.527,127.265
196,연세정담정신건강의학과의원,의원,"세종특별자치시 한누리대로 499, 세종포스트빌딩 201-3,301호 (어진동)",044-866-3824,36.498,127.268
197,경희부부한의원,한의원,"세종특별자치시 절재로 194, 중앙타운 301호 (어진동)",044-905-2200,36.498,127.268
198,블랑피부과의원,의원,"세종특별자치시 절재로 194, 중앙타운 301호,302(일부)호 (어진동)",044-905-1100,36.498,127.268
199,서울삼성이비인후과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 401~404호 (나성동)",044-864-1864,36.507,127.258
200,코끼리소아청소년과의원,의원,"세종특별자치시 한누리대로 2012, 코끼리타워 401호,402호 (소담동)",044-867-8867,36.544,127.258
201,정마취통증의학과의원,의원,"세종특별자치시 한누리대로 2016, 타임빌딩 401호,402호 (소담동)",044-905-3300,36.544,127.258
202,미애로여성의원,의원,"세종특별자치시 한누리대로 253, 에스빌딩 603호,604호 (나성동)",044-863-7475,36.507,127.258
203,바로선한의원,한의원,"세종특별자치시 새롬중앙로 33, 새뜸프라자 302호 (새롬동)",044-865-8572,36.519,127.258
204,서울굿닥터의원,의원,"세종특별자치시 새롬중앙로 55, 3층 (새롬동, 행운빌딩)",044-867-9933,36.519,127.258
205,고운소아청소년과의원,의원,"세종특별자치시 남세종로 454, 405호 (보람동, 강남제일타워)",044-868-9545,36.553,127.268
206,경희바른몸한의원,한의원,"세종특별자치시 한누리대로 2022, 504호,505호 (소담동, 아크레타 아이콤스타타워)",044-868-1015,36.544,127.258
