순번,설립구분,학교구분,학교명,지역,학교전화번호,학교팩스번호,학급수,학생인원,주소,홈페이지주소
39,공립,유치원,다빛유치원,종촌동,044-903-3801,044-903-3819,8,98,세종특별자치시 달빛1로 5,http://dabit.sjedukg.kr
40,공립,유치원,늘봄유치원,도담동,044-903-2401,044-903-2415,6,64,세종특별자치시 다솜1로 175,http://neulbom.sjedukg.kr
41,공립,유치원,초롱별유치원,도담동,044-903-2601,044-903-2615,4,36,세종특별자치시 다솜1로 130,http://chorong.sjedukg.kr
42,공립,유치원,가락유치원,고운동,044-903-1302,044-903-1319,9,131,세종특별자치시 마음안1로 22,http://garak.sjedukg.kr
43,공립,유치원,새샘유치원,소담동,044-999-5100,044-999-5129,9,120,세종특별자치시 소담4로 14,http://saesaem.sjedukg.kr
44,공립,유치원,소담유치원,소담동,044-903-0100,044-903-0123,10,156,세종특별자치시 소담1로 25,http://sodam.sjedukg.kr
45,공립,유치원,보람유치원,보람동,044-903-0202,044-903-0243,10,154,세종특별자치시 남세종로 416,http://boram.sjedukg.kr
46,공립,유치원,새롬유치원,새롬동,044-999-7900,044-999-7939,11,162,세종특별자치시 새롬서로 56,http://saerom.sjedukg.kr
47,공립,유치원,새뜸유치원,새롬동,044-999-7800,044-999-7823,14,186,세종특별자치시 새롬중앙로 38-11,http://saetteum.sjedukg.kr
48,공립,유치원,가득유치원,새롬동,044-999-6800,044-999-6813,10,155,세종특별자치시 세종로 933,http://gadeuk.sjedukg.kr
49,공립,유치원,한빛유치원,보람동,044-999-5800,044-999-5823,8,94,세종특별자치시 시청대로 106,http://hanbit.sjedukg.kr
50,공립,유치원,여울유치원,보람동,044-999-6200,044-999-6229,11,168,세종특별자치시 보람1길 15,http://yeoul.sjedukg.kr
51,공립,유치원,글벗유치원,소담동,044-999-7300,044-999-7329,9,134,세종특별자치시 소담3로 26,http://geulbeot.sjedukg.kr
52,공립,유치원,새솔유치원,다정동,044-902-2900,044-902-2929,7,56,세종특별자치시 다정4길 15,http://saesol.sjedukg.kr/
53,공립,유치원,다정유치원,다정동,044-902-2500,044-902-2519,9,132,세종특별자치시 다정남로 33,http://dajeong.sjedukg.kr/
54,공립,유치원,새움유치원,다정동,044-902-2700,044-902-2729,10,135,세종특별자치시 다정남로 91,http://saeum.sjedukg.kr/
55,공립,유치원,한결유치원,다정동,044-902-2600,044-902-2629,9,138,세종특별자치시 다정북로 137,http://hangyeol.sjedukg.kr/
56,공립,유치원,해들유치원,대평동,044-902-2400,044-902-2429,9,105,세종특별자치시 보람서로 29,http://haedeul.sjedukg.kr/
57,공립,유치원,대평유치원,대평동,044-902-7000,044-902-7029,6,91,세종특별자치시 대평1길 17,http://daepyeong.sjedukg.kr/
58,공립,유치원,솔빛숲유치원,반곡동,044-410-2000,044-410-2029,9,141,세종특별자치시 반곡3길 10,http://solbitsup.sjedukg.kr/
59,공립,유치원,해밀유치원,해밀동,044-902-0700,044-902-0729,9,142,세종특별자치시 해밀1로 75,http://haemil.sjedukg.kr/
60,공립,유치원,반곡유치원,반곡동,044-902-7100,044-902-7170,11,170,세종특별자치시 시청대로 464,http://bangokU.sjedukg.kr
61,공립,유치원,나성유치원,새롬동,044-902-0500,044-902-0529,11,156,세종특별자치시 중앙공원서로 11,http://naseong.sjedukg.kr
62,공립,유치원,집현유치원,반곡동,044-902-4700,044-902-4719,14,228,세종특별자치시 집현서로 25,http://jiphyeon.sjedukg.kr
63,공립,유치원,바른유치원,산울동,044-905-2700,044-905-2709,13,216,세종특별자치시 산울동 281,https://bareun.sjedukg.kr
64,공립,유치원,산울유치원,산울동,044-905-5400,044-905-5449,13,216,세종특별자치시 산울8로 1,https://sanul.sjedukg.kr
65,공립,초등학교,조치원대동초등학교,조치원읍,044-861-4603,044-867-3423,32,509,세종특별자치시 조치원읍 대동학교길 11,http://jdd.sjedues.kr/
66,공립,초등학교,조치원명동초등학교,조치원읍,044-866-5786,044-866-9990,8,66,세종특별자치시 조치원읍 조치원10길 35,http://jmd.sjedues.kr
67,공립,초등학교,조치원교동초등학교,조치원읍,044-902-4800,044-902-4860,12,174,세종특별자치시 조치원읍 새내18길 21,http://jk.sjedues.kr
68,공립,초등학교,조치원신봉초등학교,조치원읍,044-902-1400,044-866-9991,19,301,세종특별자치시 조치원읍 서북부로 10,http://jcwsb.sjedues.kr
69,공립,초등학교,연남초등학교,연기면,044-863-4500,044-863-5717,7,51,세종특별자치시 연기면 연기길 2,http://yeonnam.sjedues.kr
70,공립,초등학교,수왕초등학교,연기면,044-863-4101,044-863-6551,6,72,세종특별자치시 연기면 눌왕길 8-45,http://suwang.sjedues.kr
71,공립,초등학교,연동초등학교,연동면,044-864-9300,044-866-9992,7,31,세종특별자치시 연동면 청연로 606-36,http://yd.sjedues.kr
72,공립,초등학교,부강초등학교,부강면,044-902-1604,044-902-1675,11,132,세종특별자치시 부강면 부강로 15,http://bugang.sjedues.kr
73,공립,초등학교,금남초등학교,금남면,044-866-7052,044-866-5935,14,167,세종특별자치시 금남면 금남구즉로 62,http://kumnam.sjedues.kr
74,공립,초등학교,감성초등학교,금남면,044-866-7058,044-866-5934,7,66,세종특별자치시 금남면 감성길 6,http://gamsung.sjedues.kr/
75,공립,초등학교,장기초등학교,장군면,044-857-4066,044-857-1007,7,70,세종특별자치시 장군면 장척로 398-9,http://janggi.sjedues.kr
76,공립,초등학교,의랑초등학교,장군면,044-852-6871,044-855-0788,6,73,세종특별자치시 장군면 태산길 50-1,http://uirang.sjedues.kr
77,공립,초등학교,세종도원초등학교,연서면,044-868-7211,044-868-7259,31,554,세종특별자치시 연서면 도원로 63,http://ygdowon.sjedues.kr
78,공립,초등학교,연봉초등학교,연서면,044-867-6004,044-867-5712,9,93,세종특별자치시 연서면 당산로 357-1,http://yeonbong.sjedues.kr/
79,공립,초등학교,연서초등학교,연서면,044-867-7033,044-867-7134,13,152,세종특별자치시 연서면 연서로 148,http://yeonseo.sjedues.kr
80,공립,초등학교,쌍류초등학교,연서면,044-863-1929,044-863-5711,7,41,세종특별자치시 연서면 벌말길 73,http://ssr.sjedues.kr
81,공립,초등학교,전의초등학교,전의면,044-863-1451,044-863-6552,12,107,세종특별자치시 전의면 운주산로 1204-9,http://jeonui.sjedues.kr
82,공립,초등학교,전동초등학교,전동면,044-863-1208,044-863-5716,7,47,세종특별자치시 전동면 하노장3길 9,http://jeondong.sjedues.kr
83,공립,초등학교,소정초등학교,소정면,044-566-6060,044-566-6465,7,34,세종특별자치시 소정면 학교말길 10,http://sojeong.sjedues.kr
84,공립,초등학교,참샘초등학교,한솔동,044-868-3781,044-868-8659,23,430,세종특별자치시 노을1로 29,http://charmsaem.sjedues.kr
85,공립,초등학교,한솔초등학교,한솔동,044-410-4301,044-410-4383,25,503,세종특별자치시 누리로 32,http://sjhansol.sjedues.kr
86,공립,초등학교,도담초등학교,도담동,044-410-0101,044-410-0185,48,1052,세종특별자치시 보람로 33,http://dodam.sjedues.kr/
87,공립,초등학교,연세초등학교,도담동,044-860-6502,044-865-1801,20,394,세종특별자치시 다솜로 291,http://yeonse.sjedues.kr
88,공립,초등학교,아름초등학교,아름동,044-998-1843,044-998-1846,44,898,세종특별자치시 달빛로 174,http://areum.sjedues.kr
89,공립,초등학교,연양초등학교,도담동,044-998-4201,044-998-4218,58,1233,세종특별자치시 도움3로 37,https://yeonyang.sjedues.kr/
90,공립,초등학교,미르초등학교,한솔동,044-998-2702,044-998-1982,25,482,세종특별자치시 나리로 26-16,http://mir.sjedues.kr
91,공립,초등학교,나래초등학교,아름동,044-867-8061,044-867-8064,46,946,세종특별자치시 달빛1로 108,http://narae.sjedues.kr
92,공립,초등학교,양지초등학교,도담동,044-867-9052,044-866-1843,26,523,세종특별자치시 보듬8로 11,http://yangji.sjedues.kr
93,공립,초등학교,고운초등학교,고운동,044-903-4302,044-903-4310,48,1022,세종특별자치시 만남로 45,http://gowoon.sjedues.kr
94,공립,초등학교,두루초등학교,고운동,044-903-2703,044-903-2777,50,1053,세종특별자치시 만남로 227,http://duru.sjedues.kr
95,공립,초등학교,온빛초등학교,고운동,044-903-3702,044-903-3774,34,701,세종특별자치시 만남로 174,http://onbit.sjedues.kr
96,공립,초등학교,으뜸초등학교,고운동,044-903-2502,044-903-2560,26,516,세종특별자치시 마음로 132,http://eutteum.sjedues.kr
97,공립,초등학교,종촌초등학교,종촌동,044-903-3602,044-903-3619,40,796,세종특별자치시 도움1로 160,http://jongchon.sjedues.kr
98,공립,초등학교,다빛초등학교,종촌동,044-903-3502,044-903-3575,24,434,세종특별자치시 달빛1로 7,http://dabit.sjedues.kr
99,공립,초등학교,늘봄초등학교,도담동,044-903-3402,044-903-3419,20,300,세종특별자치시 다솜1로 183,http://neulbom.sjedues.kr
100,공립,초등학교,가락초등학교,고운동,044-903-1205,044-903-1274,30,568,세종특별자치시 마음로 208,http://garak.sjedues.kr
101,공립,초등학교,소담초등학교,소담동,044-861-7300,044-283-8112,57,1162,세종특별자치시 소담1로 35,http://sodam.sjedues.kr
102,공립,초등학교,보람초등학교,보람동,044-903-0305,044-903-0377,44,968,세종특별자치시 보람동로 39,http://boram.sjedues.kr
103,공립,초등학교,새롬초등학교,새롬동,044-999-5600,044-999-5610,63,1379,세종특별자치시 새롬중앙1로 27,http://saerom.sjedues.kr
104,공립,초등학교,새뜸초등학교,새롬동,044-999-7400,044-999-7410,36,732,세종특별자치시 새롬남로 75,http://saetteum.sjedues.kr
105,공립,초등학교,가득초등학교,새롬동,044-999-7600,044-999-7608,31,618,세종특별자치시 세종로 941,http://gadeuk.sjedues.kr
106,공립,초등학교,여울초등학교,보람동,044-999-6100,044-999-9450,36,735,세종특별자치시 보람1길 9,http://yeoul.sjedues.kr
107,공립,초등학교,글벗초등학교,소담동,044-999-5300,044-999-5310,43,887,세종특별자치시 소담로 121,http://geulbeot.sjedues.kr
108,공립,초등학교,다정초등학교,다정동,044-902-3800,044-902-3809,61,1304,세종특별자치시 다정남로 35,http://dajeong.sjedues.kr/
109,공립,초등학교,새움초등학교,다정동,044-902-3200,044-902-3209,29,539,세종특별자치시 다정남로 93,http://saeum.sjedues.kr/
110,공립,초등학교,한결초등학교,다정동,044-902-3400,044-902-3409,49,1034,세종특별자치시 다정북로 139,http://hangyeol.sjedues.kr/
111,공립,초등학교,대평초등학교,대평동,044-902-4100,044-902-4129,41,793,세종특별자치시 대평1길 19,http://daepyeong.sjedues.kr/
112,공립,초등학교,솔빛초등학교,반곡동,044-410-2500,044-410-2581,20,372,세종특별자치시 반곡2길 21,http://solbit.sjedues.kr/
113,공립,초등학교,반곡초등학교,반곡동,044-410-6002,044-410-6079,48,999,세종특별자치시 시청대로 468,http://bangok.sjedues.kr
114,공립,초등학교,해밀초등학교,해밀동,044-902-9900,044-902-9809,59,1225,세종특별자치시 해밀1로 73,http://haemil.sjedues.kr
115,공립,초등학교,나성초등학교,새롬동,044-902-8600,044-902-8609,61,1318,세종특별자치시 갈매로 294,http://naseong.sjedues.kr
116,공립,초등학교,집현초등학교,반곡동,044-902-6700,044-902-6779,28,461,세종특별자치시 집현서로 23,http://jiphyeon.sjedues.kr
117,공립,초등학교,나루초등학교,집현동,044-960-9600,044-960-9699,25,600,세종특별자치시 집현서로 90 (집현동),https://naru.sjedues.kr/naru-e/main.do?sso=ok
118,공립,초등학교,바른초등학교,산울동,044-995-9500,044-995-9599,31,523,세종특별자치시 산울3로 33,https://bareun.sjedues.kr
119,공립,초등학교,산울초등학교,산울동,044-960-8300,044-960-8301,24,406,세종특별자치시 산울7로 33,https://sanul.sjedues.kr/sanul-e/main.do
120,공립,중학교,조치원중학교,조치원읍,044-863-0773,044-866-9995,31,810,세종특별자치시 조치원읍 대첩로 90,http://jochiwon.sjedums.kr
121,공립,중학교,세종중학교,조치원읍,044-864-2072,044-866-9996,22,492,세종특별자치시 조치원읍 새내로 160,http://sejong.sjedums.kr
122,공립,중학교,연동중학교,연동면,044-864-7022,044-866-5931,3,16,세종특별자치시 연동면 내판로 10-13,http://yeondong.sjedums.kr
123,공립,중학교,부강중학교,부강면,044-275-4082,044-275-0408,7,110,세종특별자치시 부강면 부강로 25-7,http://bugang.sjedums.kr
124,공립,중학교,금호중학교,대평동,044-850-0400,044-866-5937,22,540,세종특별자치시 대평로 27,http://geumho.sjedums.kr
125,공립,중학교,장기중학교,장군면,044-998-3146,044-998-3148,5,69,세종특별자치시 장군면 장척로 359,http://janggi.sjedums.kr
126,공립,중학교,연서중학교,연서면,044-902-0915,044-902-0920,6,93,세종특별자치시 연서면 연서로 115,http://yeonseo.sjedums.kr
127,공립,중학교,전의중학교,전의면,044-863-3200,044-863-5713,7,88,세종특별자치시 전의면 운주산로 1260-6,http://jeonui.sjedums.kr
128,공립,중학교,한솔중학교,한솔동,044-868-1733,044-866-1731,32,797,세종특별자치시 나리로 43,http://sjhansol.sjedums.kr
129,공립,중학교,도담중학교,도담동,044-410-0201,044-410-0208,27,658,세종특별자치시 보람로 80,http://dodam.sjedums.kr
130,공립,중학교,아름중학교,아름동,044-902-1000,044-902-1050,54,1405,세종특별자치시 달빛1로 167,http://areum.sjedums.kr
131,공립,중학교,어진중학교,도담동,044-410-0701,044-410-0777,18,461,세종특별자치시 다솜로 10,https://eojin.sjedums.kr/
132,공립,중학교,새롬중학교,새롬동,044-998-2650,044-998-2654,31,811,세종특별자치시 어울로 41,http://saerom.sjedums.kr/
133,공립,중학교,고운중학교,고운동,044-903-3303,044-903-3322,35,905,세종특별자치시 만남로 65,http://gowoon.sjedums.kr/
134,공립,중학교,두루중학교,고운동,044-903-3103,044-903-3123,40,1012,세종특별자치시 만남로 211,http://duru.sjedums.kr/
135,공립,중학교,종촌중학교,종촌동,044-903-3202,044-903-3224,42,1058,세종특별자치시 도움1로 126,http://jongchon.sjedums.kr/
136,공립,중학교,양지중학교,도담동,044-903-3012,044-903-3018,29,754,세종특별자치시 갈매로 512,http://yangji.sjedums.kr/
137,공립,중학교,소담중학교,소담동,044-905-0206,044-905-0220,26,612,세종특별자치시 남세종로 340,http://sodam.sjedums.kr/
138,공립,중학교,새움중학교,다정동,044-999-6500,044-999-6510,27,719,세종특별자치시 다정서로 12,http://saeum.sjedums.kr
139,공립,중학교,새뜸중학교,새롬동,044-999-5900,044-999-5910,26,646,세종특별자치시 새롬중앙로 62-12,http://saetteum.sjedums.kr
140,공립,중학교,보람중학교,보람동,044-999-6400,044-999-6499,32,832,세종특별자치시 남세종로 423,http://boram.sjedums.kr
141,공립,중학교,글벗중학교,소담동,044-999-6900,044-999-6908,17,420,세종특별자치시 소담4로 33,http://geulbeot.sjedums.kr
142,공립,중학교,다정중학교,다정동,044-902-1800,044-902-1809,37,925,세종특별자치시 다정서로 52,http://dajeong.sjedums.kr
143,공립,중학교,반곡중학교,반곡동,044-410-3600,044-410-3629,21,510,세종특별자치시 시청대로 480,http://bangok.sjedums.kr/
144,공립,중학교,해밀중학교,해밀동,044-902-7200,044-902-7209,21,510,세종특별자치시 해밀2로 6,http://haemil.sjedums.kr/
145,공립,중학교,나성중학교,새롬동,044-902-0800,044-902-0819,24,625,세종특별자치시 갈매로 298,http://naseong.sjedums.kr/
146,공립,중학교,집현중학교,반곡동,044-902-9600,044-902-9698,17,390,세종특별자치시 집현서로 42,http://jiphyeon.sjedums.kr
147,공립,중학교,산울중학교,산울동,044-860-9300,044-960-9301,15,365,세종특별자치시 산울7로 33,https://sanul.sjedums.kr/sanul-m/main.do
148,공립,고등학교,세종고등학교,조치원읍,044-320-6641,044-320-6709,30,705,세종특별자치시 조치원읍 조치원중고길 10,http://sejong.sjeduhs.kr
149,공립,고등학교,세종여자고등학교,조치원읍,044-862-1083,044-865-1314,31,603,세종특별자치시 조치원읍 봉산로 16,http://sjghs.sjeduhs.kr
150,공립,고등학교,세종미래고등학교,부강면,044-275-4091,044-275-6473,13,203,세종특별자치시 부강면 문곡달미길 6,https://sjmirae.sjeduhs.kr/sejonghi-tech-h/main.do?sso=ok
151,공립,고등학교,한솔고등학교,한솔동,044-410-4111,044-410-4107,25,637,세종특별자치시 누리로 34,http://sjhansol.sjeduhs.kr
152,공립,고등학교,세종국제고등학교,아름동,044-410-0501,044-410-0510,15,301,세종특별자치시 달빛1로 251,http://sjgl.sjeduhs.kr
153,공립,고등학교,도담고등학교,도담동,044-410-0302,044-410-0399,24,642,세종특별자치시 보듬4로 41,http://dodam.sjeduhs.kr/
154,공립,고등학교,아름고등학교,아름동,044-902-6424,044-902-6469,40,1034,세종특별자치시 달빛1로 151,http://areum.sjeduhs.kr/
155,공립,고등학교,고운고등학교,고운동,044-903-2310,044-903-2309,34,852,세종특별자치시 마음안로 93,http://gowoon.sjeduhs.kr
156,공립,고등학교,두루고등학교,고운동,044-903-2200,044-903-2206,33,847,세종특별자치시 마음안1로 53,http://duru.sjeduhs.kr
157,공립,고등학교,종촌고등학교,종촌동,044-903-2101,044-903-2198,41,1060,세종특별자치시 달빛1로 60,http://jongchon.sjeduhs.kr
158,공립,고등학교,양지고등학교,도담동,044-903-2009,044-903-2020,35,869,세종특별자치시 갈매로 518,http://yangji.sjeduhs.kr
159,공립,고등학교,세종과학예술영재학교,아름동,044-903-1100,044-903-1016,18,261,세종특별자치시 달빛1로 265,http://sasa.sjeduhs.kr
160,공립,고등학교,보람고등학교,보람동,044-999-7121,044-999-7129,35,895,세종특별자치시 한누리대로 2176,http://boram.sjeduhs.kr
161,공립,고등학교,새롬고등학교,새롬동,044-999-6300,044-999-6310,38,981,세종특별자치시 새롬서로 68,http://saerom.sjeduhs.kr
162,공립,고등학교,소담고등학교,소담동,044-902-2200,044-902-2210,35,860,세종특별자치시 남세종로 326,http://sodam.sjeduhs.kr
163,공립,고등학교,세종예술고등학교,연기면,044-902-3000,044-902-3019,12,227,세종특별자치시 연기면 중앙공원서로 60,http://sjarts.sjeduhs.kr/
164,공립,고등학교,다정고등학교,다정동,044-410-3400,044-410-3420,38,978,세종특별자치시 다정남로 15,http://dajeong.sjeduhs.kr/
165,공립,고등학교,반곡고등학교,반곡동,044-902-7700,044-902-7710,27,654,세종특별자치시 시청대로 566,http://bangok.sjeduhs.kr
166,공립,고등학교,세종장영실고등학교,금남면,044-902-2800,044-902-2810,25,449,세종특별자치시 금남구즉로 196,http://sejongjys.sjeduhs.kr
167,공립,고등학교,해밀고등학교,해밀동,044-902-8555,044-902-7209,12,268,세종특별자치시 해밀3로 90,http://haemil.sjeduhs.kr
168,공립,고등학교,세종캠퍼스고등학교,산울동,044-995-8000,044-995-8025,15,398,세종특별자치시 산울3로 140,https://sejongcampus.sjeduhs.kr/sejongcampus-h/main.do
169,사립,고등학교,세종대성고등학교,도담동,044-860-3710,044-860-3799,24,639,세종특별자치시 다솜로 22,http://daeseong.sjeduhs.kr
170,공립,특수학교,세종누리학교,고운동,044-410-2117,044-410-2193,34,191,세종특별자치시 만남로 326-14(고운동),http://sjnuri.sjeduhs.kr
171,공립,특수학교,세종이음학교,집현동,044-995-7100,044-995-7198,24,108,세종특별자치시 집현부강로 15 (집현동),https://sjeeum.sjeduhs.kr/sjeeum-s/main.do?sso=ok
172,공립,각종학교,세종늘벗학교,조치원읍,044-999-1289,044-999-1288,3,0,세종특별자치시 조치원읍 내창천로 52 (서창리),https://neulbeot.sjeduhs.kr
